date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:33	31475/31475	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:20:37%20GMT	https://www.heise.de/tp/features/CIA-Spanischer-Sozialdemokrat-Gonzalez-war-Senor-X-der-Todesschwadronen-4784545.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/CIA-Spanischer-Sozialdemokrat-Gonzalez-war-Senor-X-der-Todesschwadronen-4784545aa88.html	(from https://www.heise.de/tp/features/CIA-Spanischer-Sozialdemokrat-Gonzalez-war-Senor-X-der-Todesschwadronen-4784545.html)
13:37:34	35241/35241	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:14:04%20GMT	https://www.heise.de/tp/features/Droht-nach-der-Corona-Panik-die-Fake-News-Paranoia-4784776.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Droht-nach-der-Corona-Panik-die-Fake-News-Paranoia-4784776aa88.html	(from https://www.heise.de/tp/features/Droht-nach-der-Corona-Panik-die-Fake-News-Paranoia-4784776.html)
13:37:35	36391/36391	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:28:44%20GMT	https://www.heise.de/tp/features/Amerikaner-sind-zunehmend-ungluecklich-Beliebtheitswerte-von-Trump-sind-im-Keller-4785976.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Amerikaner-sind-zunehmend-ungluecklich-Beliebtheitswerte-von-Trump-sind-im-Keller-4785976aa88.html	(from https://www.heise.de/tp/features/Amerikaner-sind-zunehmend-ungluecklich-Beliebtheitswerte-von-Trump-sind-im-Keller-4785976.html)
13:37:36	60101/60101	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:19:34%20GMT	https://www.heise.de/tp/features/Soziale-Unruhen-oder-Massenmigration-nach-der-Covid-19-Pandemie-4782896.html	/home/alexander/websites/heise/www.heise.de/tp/features/Soziale-Unruhen-oder-Massenmigration-nach-der-Covid-19-Pandemie-4782896.html	(from https://www.heise.de/tp/features/Nicht-Fake-News-sondern-verwirrende-Aeusserungen-der-Regierung-sind-das-groessere-Problem-4783289.html)
13:37:37	67455/67455	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:37:20%20GMT	https://www.heise.de/tp/features/Wer-die-Bekaempfung-von-Fake-News-finanziert-4768361.html	/home/alexander/websites/heise/www.heise.de/tp/features/Wer-die-Bekaempfung-von-Fake-News-finanziert-4768361.html	(from https://www.heise.de/tp/features/Nicht-Fake-News-sondern-verwirrende-Aeusserungen-der-Regierung-sind-das-groessere-Problem-4783289.html)
13:37:38	37576/37576	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:09:55%20GMT	https://www.heise.de/tp/features/Nicht-Fake-News-sondern-verwirrende-Aeusserungen-der-Regierung-sind-das-groessere-Problem-4783289.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Nicht-Fake-News-sondern-verwirrende-Aeusserungen-der-Regierung-sind-das-groessere-Problem-4783289aa88.html	(from https://www.heise.de/tp/features/Nicht-Fake-News-sondern-verwirrende-Aeusserungen-der-Regierung-sind-das-groessere-Problem-4783289.html)
13:37:39	51166/51166	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:37:39%20GMT	https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html?view=mail	/home/alexander/websites/heise/www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464ffd2.html	(from https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html?seite=2)
13:37:41	35451/35451	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:37:41%20GMT	https://www.heise.de/tp/features/Landlust-und-Landflucht-4603662.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Landlust-und-Landflucht-4603662aa88.html	(from https://www.heise.de/tp/features/Landlust-und-Landflucht-4603662.html)
13:37:41	61807/61807	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2009:26:41%20GMT	https://www.heise.de/tp/features/Frankreich-Protest-gegen-Rassismus-und-Ungerechtigkeit-4782698.html?seite=4	/home/alexander/websites/heise/www.heise.de/tp/features/Frankreich-Protest-gegen-Rassismus-und-Ungerechtigkeit-47826984f7d.html	(from https://www.heise.de/tp/features/Frankreich-Protest-gegen-Rassismus-und-Ungerechtigkeit-4782698.html?seite=5)
13:37:42	70170/70170	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:06:29%20GMT	https://www.heise.de/tp/features/Frankreich-Protest-gegen-Rassismus-und-Ungerechtigkeit-4782698.html	/home/alexander/websites/heise/www.heise.de/tp/features/Frankreich-Protest-gegen-Rassismus-und-Ungerechtigkeit-4782698.html	(from https://www.heise.de/tp/features/Frankreich-Protest-gegen-Rassismus-und-Ungerechtigkeit-4782698.html?seite=5)
